rule_index,update_us
0,2.723
1,1.801
2,1.933
3,1.855
4,1.852
5,1.919
6,1.780
7,1.848
8,1.919
9,1.906
10,1.826
11,1.843
12,1.849
13,2.182
14,1.872
15,1.871
16,1.824
17,1.841
18,1.885
19,1.809
20,1.735
21,1.835
22,1.833
23,1.756
24,1.867
25,1.824
26,1.787
27,1.830
28,1.941
29,1.887
30,1.740
31,1.796
32,1.762
33,1.826
34,1.803
35,1.829
36,1.766
37,1.893
38,1.858
39,1.790
40,1.837
41,1.819
42,1.916
43,1.850
44,1.860
45,1.820
46,1.768
47,1.836
48,1.798
49,1.868
50,1.836
51,1.839
52,1.929
53,1.875
54,1.803
55,1.809
56,1.743
57,1.805
58,1.858
59,1.775
60,1.850
61,1.833
62,1.750
63,1.839
64,2.163
65,1.847
66,1.884
67,2.077
68,2.212
69,1.862
70,1.864
71,2.139
72,1.760
73,1.856
74,1.922
75,1.825
76,1.730
77,1.822
78,1.876
79,1.926
80,1.789
81,1.767
82,1.763
83,1.794
84,1.948
85,1.759
86,1.799
87,1.793
88,1.903
89,1.877
90,1.819
91,1.793
92,1.888
93,1.846
94,1.853
95,1.770
96,1.831
97,1.868
98,1.732
99,1.884
100,1.887
101,1.873
102,2.033
103,1.860
104,2.038
105,1.979
106,1.862
107,1.852
108,1.844
109,1.920
110,1.919
111,1.889
112,1.843
113,2.085
114,1.846
115,1.924
116,1.870
117,1.845
118,1.853
119,1.873
120,2.313
121,1.835
122,1.899
123,1.815
124,1.831
125,1.812
126,1.789
127,1.840
128,5.025
129,1.908
130,1.830
131,1.958
132,1.959
133,1.859
134,1.858
135,1.915
136,1.908
137,1.840
138,1.882
139,1.932
140,1.981
141,1.875
142,1.987
143,1.881
144,1.985
145,1.834
146,1.888
147,1.904
148,1.856
149,1.800
150,1.769
151,1.807
152,2.236
153,1.755
154,1.844
155,1.802
156,1.837
157,1.904
158,1.859
159,1.886
160,1.881
161,1.871
162,1.892
163,1.821
164,1.936
165,2.028
166,1.936
167,1.900
168,1.821
169,1.978
170,1.840
171,1.865
172,1.841
173,1.925
174,1.845
175,1.877
176,1.812
177,1.847
178,1.894
179,1.813
180,1.873
181,1.838
182,1.929
183,1.790
184,2.107
185,1.860
186,31.202
187,2.064
188,1.771
189,1.780
190,1.773
191,1.917
192,1.951
193,2.193
194,1.762
195,1.769
196,1.917
197,1.846
198,1.860
199,2.153
200,1.924
201,1.998
202,1.817
203,1.911
204,1.803
205,1.954
206,1.781
207,1.871
208,1.916
209,1.929
210,1.840
211,1.857
212,1.847
213,1.846
214,1.875
215,1.801
216,1.871
217,1.804
218,1.937
219,1.964
220,1.838
221,1.901
222,1.835
223,1.848
224,1.856
225,1.888
226,1.919
227,1.911
228,1.859
229,1.885
230,1.778
231,1.846
232,1.779
233,1.929
234,2.205
235,1.942
236,1.873
237,1.791
238,1.914
239,1.848
240,1.896
241,1.803
242,1.830
243,1.840
244,1.791
245,1.820
246,1.752
247,1.900
248,1.831
249,1.846
250,1.859
251,1.800
252,1.820
253,1.809
254,1.838
255,1.807
256,4.285
257,1.934
258,1.796
259,1.775
260,1.910
261,1.862
262,1.857
263,1.892
264,1.885
265,1.864
266,1.879
267,1.804
268,1.887
269,1.858
270,1.980
271,1.949
272,1.803
273,1.871
274,1.928
275,1.909
276,1.890
277,1.775
278,1.840
279,1.759
280,1.918
281,1.820
282,1.894
283,1.758
284,1.794
285,1.896
286,1.915
287,1.850
288,1.822
289,1.770
290,1.899
291,1.816
292,1.757
293,1.876
294,1.923
295,1.792
296,1.851
297,1.902
298,1.888
299,1.861
300,1.816
301,1.774
302,1.851
303,1.775
304,1.903
305,1.849
